PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_BOOM,PPR_BUST,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STARTER,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
CHICAGO BEARS,,,,,,,,,,,0.0,0.1,7.1,0.4,1.3,,,,,0.0,0.0,0.0,,,,0.0,204.2,,,,1.8,0.0,,,,,150.0,0.0,,,2.0,,120.0,18.0,6.0,22.0,,,,,0.0,0.0,7.0,DEF,13.4,7.0,13.0,3.1,3.0,21.0,,207.1,150.0,,,,,,,,,,216.0,,27.2,11.0,352.0,0.0,,,,0.0,216.0,,,,30.0,0.0,21.0,,19.5,CHI,,11.0,278.0,,,
CHIGOZIEM OKONKWO,,,,,,,,,,,,,3.5,,,,,,,0.0,0.0,,3.2,0.1,31.1,,195.7,0.1,0.0,0.4,,,4.5,,,,127.0,,0.0,75.0,,1.0,59.4,2.0,,,,,,,0.0,0.0,4.0,TE,23.8,17.0,21.0,3.8,4.0,41.0,6.7,177.6,111.0,0.0,69.0,113.4,22.0,16.0,20.0,4.0,4.0,40.0,164.0,6.0,33.7,10.0,300.0,,54.0,1.0,528.0,,184.0,2.0,0.0,6.0,,,5.0,13.0,31.1,TEN,77.0,10.0,289.0,,,
CHRIS BOSWELL,0.0,9.0,7.0,7.0,6.0,0.0,0.5,0.4,0.4,0.4,,,7.8,,,,,,,0.0,0.0,,,,,,309.3,,,,,,,1.6,1.6,,252.0,,0.0,0.0,,,133.0,14.0,,,,,,,0.0,0.0,3.0,K,21.9,18.0,21.0,2.0,4.0,26.0,,307.6,252.0,0.0,0.0,,,,,,,,383.0,0.0,22.4,14.0,324.0,,,,,,395.0,,,,,,24.0,0.0,23.9,PIT,,15.0,325.0,28.0,27.0,
CHRIS EVANS,,,,,,,,,,,,,0.2,,,,,,,0.0,0.0,,0.1,0.0,-0.1,,305.0,0.3,0.0,1.7,,,0.1,,,,288.0,,0.0,100.0,,4.0,1.1,24.0,,,,,,,0.0,0.0,29.0,RB,128.8,97.0,123.0,15.3,10.0,154.0,0.3,304.3,286.0,0.0,100.0,2.1,130.3,94.0,123.0,16.1,10.0,154.0,435.0,0.0,13.7,15.0,319.0,,1.0,0.0,-1.0,,465.0,2.0,0.0,12.0,,,17.0,0.0,17.0,CIN,1.0,15.0,322.0,,,
CHRIS GODWIN,,,,,,,,,,,,,7.4,,,,,,,0.0,0.0,,4.9,0.1,60.2,,87.3,0.2,0.1,2.2,,,7.6,,,,59.0,,0.0,13.0,,2.0,126.2,21.0,,,,,,,0.0,0.0,24.0,WR,38.6,29.0,40.0,4.0,5.0,54.0,12.3,65.7,37.0,6.0,6.0,209.2,33.2,22.0,33.0,4.1,5.0,47.0,64.0,25.0,12.3,6.0,109.0,,83.0,2.0,1024.0,,86.0,4.0,1.0,38.0,,,16.0,25.0,11.8,TB,130.0,7.0,128.0,,,
CHRIS MANHERTZ,,,,,,,,,,,,,0.1,,,,,,,,,,0.1,0.0,1.0,,,0.0,0.0,0.0,,,0.3,,,,,,0.0,100.0,,0.0,1.6,25.0,,,,,,,,,3.0,,120.0,104.0,121.0,8.8,9.0,131.0,0.2,,,0.0,100.0,3.6,114.4,97.0,118.0,9.1,9.0,122.0,,0.0,,,,,2.0,0.0,16.0,,,0.0,0.0,0.0,,,31.0,0.0,,NYG,4.0,,,,,
CHRIS MOORE,,,,,,,,,,,,,2.7,,,,,,,0.0,0.0,,1.3,0.0,24.9,,359.5,0.1,0.0,2.3,,,2.1,,,,336.0,,0.0,69.0,,5.0,46.3,7.0,,,,,,,0.0,0.0,5.0,WR,142.0,121.0,150.0,9.8,10.0,157.0,4.0,364.9,326.0,0.0,94.0,68.3,138.9,119.0,145.0,9.2,10.0,155.0,436.0,0.0,23.3,15.0,396.0,,22.0,0.0,424.0,,448.0,2.0,0.0,39.0,,,14.0,0.0,17.2,ARI,35.0,15.0,383.0,,,
CHRIS OLAVE,,,,,,,,,,,,,9.0,,,,,,,0.0,0.0,,5.4,0.3,70.2,,26.2,0.0,0.0,0.0,,,8.6,,,,11.0,,0.0,13.0,,1.0,144.3,15.0,,,,,,,0.0,0.0,10.0,WR,14.4,8.0,13.0,3.4,3.0,28.0,14.5,20.4,14.0,0.0,13.0,231.3,12.3,9.0,11.0,2.5,3.0,22.0,16.0,60.0,4.7,3.0,37.0,,87.0,5.0,1123.0,,23.0,0.0,0.0,0.0,,,21.0,53.0,6.8,NO,138.0,4.0,56.0,,,
CHRISTIAN KIRK,,,,,,,,,,,,,7.8,,,,,,,0.0,0.0,,4.8,0.3,65.6,,65.4,0.1,0.0,0.5,,,7.1,,,,43.0,,0.0,17.0,,1.0,93.3,32.0,,,,,,,0.0,0.0,21.0,WR,31.6,24.0,30.0,4.4,5.0,50.0,12.5,52.1,31.0,0.0,17.0,150.3,28.0,19.0,27.0,4.7,4.0,46.0,53.0,33.0,13.1,6.0,108.0,,57.0,3.0,787.0,,62.0,1.0,0.0,6.0,,,31.0,33.0,13.3,JAC,85.0,6.0,121.0,,,
CHRISTIAN MCCAFFREY,,,,,,,,,,,,,20.3,,,,,,,0.0,0.0,,4.2,0.4,35.3,,1.2,17.0,0.9,91.2,,,5.2,,,,1.0,,56.0,0.0,,1.0,324.3,10.0,,,,,,,0.0,0.0,5.0,RB,1.1,1.0,1.0,0.3,1.0,3.0,24.5,1.2,1.0,63.0,0.0,391.3,1.1,1.0,1.0,0.4,1.0,3.0,1.0,100.0,1.1,1.0,8.0,,67.0,7.0,564.0,,1.0,272.0,14.0,1459.0,,,12.0,100.0,1.1,SF,83.0,1.0,8.0,,,
